seat_name,state_id,state_slug,uncontested,votes,Note,Source2
District 1,AL,alabama,TRUE,"208,083",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Alabama,_2016"
District 4,AL,alabama,TRUE,"235,925",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Alabama,_2016"
District 7,AL,alabama,TRUE,"229,330",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Alabama,_2016"
District 3,AZ,arizona,TRUE,"148,973",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Arizona,_2016"
District 24,FL,florida,TRUE,0,Ran unopposed,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Florida,_2016"
District 1,GA,georgia,TRUE,"210,243",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Georgia,_2016"
District 9,GA,georgia,TRUE,"256,535",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Georgia,_2016"
District 10,GA,georgia,TRUE,"243,725",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Georgia,_2016"
District 13,GA,georgia,TRUE,"252,833",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Georgia,_2016"
District 14,GA,georgia,TRUE,"216,743",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Georgia,_2016"
District 3,IL,illinois,TRUE,"225,320",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Illinois,_2016"
District 4,IL,illinois,TRUE,"171,297",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Illinois,_2016"
District 15,IL,illinois,TRUE,"274,554",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Illinois,_2016"
District 16,IL,illinois,TRUE,"259,722",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Illinois,_2016"
District 2,KY,kentucky,TRUE,"251,823",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Kentucky,_2016"
District 5,KY,kentucky,TRUE,"221,242",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Kentucky,_2016"
District 2,MA,massachusetts,TRUE,"275,487",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Massachusetts,_2016"
District 5,MA,massachusetts,TRUE,"285,606",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Massachusetts,_2016"
District 6,MA,massachusetts,TRUE,"308,923",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Massachusetts,_2016"
District 7,MA,massachusetts,TRUE,"253,354",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Massachusetts,_2016"
District 3,NE,nebraska,TRUE,"226,720",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Nebraska,_2016"
District 17,NY,new-york,TRUE,0,Ran unopposed,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_New_York,_2016"
District 1,OK,oklahoma,TRUE,0,Ran unopposed,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Oklahoma,_2016"
District 3,PA,pennsylvania,TRUE,"244,893",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Pennsylvania,_2016"
District 13,PA,pennsylvania,TRUE,"239,316",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Pennsylvania,_2016"
District 18,PA,pennsylvania,TRUE,"293,684",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Pennsylvania,_2016"
District 8,TX,texas,TRUE,"236,379",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Texas,_2016#General_election_8"
District 11,VA,virginia,TRUE,0,Ran unopposed,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Virginia,_2016"
District 3,WI,wisconsin,TRUE,"257,401",,"https://en.wikipedia.org/wiki/United_States_House_of_Representatives_elections_in_Wisconsin,_2016"
