candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,wasted_votes,winner2,contested,party_id2,state_seat_count
young-513,youngd,Don,True,Young,Don Young,4,republican,50.5,50.5,1,AK,155088,True,77543,1,0,republican,1
lindbeck-65461,lindbecks,Steve,False,Lindbeck,Steve Lindbeck,1,democrat,36.2,36.2,1,AK,111019,False,111020,0,0,democrat,1
mcdermott-62643,mcdermottj,Jim,False,McDermott,Jim McDermott,2,libertarian,10.3,10.3,1,AK,31770,False,31770,0,0,other,1
souphanavong-65821,souphanavongb,Bernie,False,Souphanavong,Bernie Souphanavong,3,no-party-affiliation,3.0,3.0,1,AK,9093,False,9094,0,0,other,1
byrne-52813,byrneb,Bradley,True,Byrne,Bradley Byrne,1,republican,100.0,0.0,1,AL,292647,True,146323,1,1,republican,7
roby-60628,robym,Martha,True,Roby,Martha Roby,2,republican,54.6,54.6,2,AL,134886,True,67442,1,0,republican,7
mathis-3739,mathisn,Nathan,False,Mathis,Nathan Mathis,1,democrat,45.4,45.4,2,AL,112089,False,112090,0,0,democrat,7
rogers-1161,rogersm,Mike,True,Rogers,Mike Rogers,2,republican,67.0,67.0,3,AL,192164,True,96081,1,0,republican,7
smith-63525,smithj,Jesse,False,Smith,Jesse Smith,1,democrat,33.0,33.0,3,AL,94549,False,94550,0,0,democrat,7
aderholt-523,aderholtr,Robert,True,Aderholt,Robert Aderholt,1,republican,100.0,0.0,4,AL,292647,True,146323,1,1,republican,7
brooks-60629,brooksm,Mo,True,Brooks,Mo Brooks,2,republican,66.8,66.8,5,AL,205647,True,102823,1,0,republican,7
boyd-64581,boydw,Will,False,Boyd,Will Boyd,1,democrat,33.2,33.2,5,AL,102234,False,102234,0,0,democrat,7
palmer-63532,palmerg,Gary,True,Palmer,Gary Palmer,2,republican,74.6,74.6,6,AL,245313,True,122656,1,0,republican,7
putman-64582,putmand,David,False,Putman,David J. Putnam,1,democrat,25.4,25.4,6,AL,83709,False,83710,0,0,democrat,7
sewell-60639,sewellt,Terri,True,Sewell,Terri Sewell,1,democrat,100.0,0.0,7,AL,292647,True,146323,1,1,democrat,7
crawford-60226,crawfordr,Rick,True,Crawford,Rick Crawford,1,republican,76.3,76.3,1,AR,183866,True,91932,1,0,republican,4
west-65434,westm,Mark,False,West,Mark West,2,libertarian,23.7,23.7,1,AR,57181,False,57182,0,0,other,4
hill-63416,hillf,French,True,Hill,French Hill,3,republican,58.4,58.4,2,AR,176472,True,88235,1,0,republican,4
