candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,winner2,uncontested,party_id2,state_seat_count,district_vote_count,state_vote_count,district_candidate_count,wasted_votes
young-513,youngd,Don,True,Young,Don Young,4,republican,50.5,50.5,1,AK,155088,True,1,0,republican,1,306970,306970,4,1602
lindbeck-65461,lindbecks,Steve,False,Lindbeck,Steve Lindbeck,1,democrat,36.2,36.2,1,AK,111019,False,0,0,democrat,1,306970,306970,4,111019
mcdermott-62643,mcdermottj,Jim,False,McDermott,Jim McDermott,2,libertarian,10.3,10.3,1,AK,31770,False,0,0,other,1,306970,306970,4,31770
souphanavong-65821,souphanavongb,Bernie,False,Souphanavong,Bernie Souphanavong,3,no-party-affiliation,3.0,3.0,1,AK,9093,False,0,0,other,1,306970,306970,4,9093
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AL,0,False,0,0,democrat,7,167227,1672272,3,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AL,0,False,0,0,other,7,167227,1672272,3,0
byrne-52813,byrneb,Bradley,True,Byrne,Bradley Byrne,1,republican,100.0,100.0,1,AL,167227,True,1,1,republican,7,167227,1672272,3,83613
roby-60628,robym,Martha,True,Roby,Martha Roby,2,republican,54.6,54.6,2,AL,134886,True,1,0,republican,7,246975,1672272,4,11398
mathis-3739,mathisn,Nathan,False,Mathis,Nathan Mathis,1,democrat,45.4,45.4,2,AL,112089,False,0,0,democrat,7,246975,1672272,4,112089
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AL,0,False,0,0,other,7,246975,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AL,0,False,0,0,other,7,246975,1672272,4,0
rogers-1161,rogersm,Mike,True,Rogers,Mike Rogers,2,republican,67.0,67.0,3,AL,192164,True,1,0,republican,7,286713,1672272,4,48807
smith-63525,smithj,Jesse,False,Smith,Jesse Smith,1,democrat,33.0,33.0,3,AL,94549,False,0,0,democrat,7,286713,1672272,4,94549
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AL,0,False,0,0,other,7,286713,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AL,0,False,0,0,other,7,286713,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AL,0,False,0,0,democrat,7,167227,1672272,3,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AL,0,False,0,0,other,7,167227,1672272,3,0
aderholt-523,aderholtr,Robert,True,Aderholt,Robert Aderholt,1,republican,100.0,100.0,4,AL,167227,True,1,1,republican,7,167227,1672272,3,83613
brooks-60629,brooksm,Mo,True,Brooks,Mo Brooks,2,republican,66.8,66.8,5,AL,205647,True,1,0,republican,7,307881,1672272,4,51706
boyd-64581,boydw,Will,False,Boyd,Will Boyd,1,democrat,33.2,33.2,5,AL,102234,False,0,0,democrat,7,307881,1672272,4,102234
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AL,0,False,0,0,other,7,307881,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AL,0,False,0,0,other,7,307881,1672272,4,0
palmer-63532,palmerg,Gary,True,Palmer,Gary Palmer,2,republican,74.6,74.6,6,AL,245313,True,1,0,republican,7,329022,1672272,4,80801
putman-64582,putmand,David,False,Putman,David J. Putnam,1,democrat,25.4,25.4,6,AL,83709,False,0,0,democrat,7,329022,1672272,4,83709
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AL,0,False,0,0,other,7,329022,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AL,0,False,0,0,other,7,329022,1672272,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AL,0,False,0,0,republican,7,167227,1672272,3,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AL,0,False,0,0,other,7,167227,1672272,3,0
sewell-60639,sewellt,Terri,True,Sewell,Terri Sewell,1,democrat,100.0,100.0,7,AL,167227,True,1,1,democrat,7,167227,1672272,3,83613
crawford-60226,crawfordr,Rick,True,Crawford,Rick Crawford,1,republican,76.3,76.3,1,AR,183866,True,1,0,republican,4,241047,1068274,4,63342
west-65434,westm,Mark,False,West,Mark West,2,libertarian,23.7,23.7,1,AR,57181,False,0,0,other,4,241047,1068274,4,57181
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AR,0,False,0,0,democrat,4,241047,1068274,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,AR,0,False,0,0,democrat,4,241047,1068274,4,0
hill-63416,hillf,French,True,Hill,French Hill,3,republican,58.4,58.4,2,AR,176472,True,1,0,republican,4,302161,1068274,3,25391
curry-64589,curryd,Dianne,False,Curry,Dianne Curry,1,democrat,36.9,36.9,2,AR,111347,False,0,0,democrat,4,302161,1068274,3,111347
hayes-62182,hayesc,Chris,False,Hayes,Chris Hayes,2,libertarian,4.7,4.7,2,AR,14342,False,0,0,other,4,302161,1068274,3,14342
womack-60238,womacks,Steve,True,Womack,Steve Womack,2,republican,77.3,77.3,3,AR,217192,True,1,0,republican,4,280907,1068274,4,76738
isaacson-65566,isaacsons,Steve,False,Isaacson,Steve Isaacson,1,libertarian,22.7,22.7,3,AR,63715,False,0,0,other,4,280907,1068274,4,63715
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AR,0,False,0,0,democrat,4,280907,1068274,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AR,0,False,0,0,democrat,4,280907,1068274,4,0
westerman-63418,westermanb,Bruce,True,Westerman,Bruce Westerman,2,republican,74.9,74.9,4,AR,182885,True,1,0,republican,4,244159,1068274,4,60805
hicks-65567,hicksk,Kerry,False,Hicks,Kerry Hicks,1,libertarian,25.1,25.1,4,AR,61274,False,0,0,other,4,244159,1068274,4,61274
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AR,0,False,0,0,democrat,4,244159,1068274,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AR,0,False,0,0,democrat,4,244159,1068274,4,0
ohalleran-52697,ohallerant,Tom,False,O'Halleran,Tom O'Halleran,2,democrat,50.7,50.7,1,AZ,142219,True,1,0,democrat,9,280710,2511991,3,1863
babeu-65711,babeup,Paul,False,Babeu,Paul Babeu,1,republican,43.4,43.4,1,AZ,121745,False,0,0,republican,9,280710,2511991,3,121745
parrish-65828,parrishr,Ray,False,Parrish,Ray Parrish,3,green,6.0,6.0,1,AZ,16746,False,0,0,other,9,280710,2511991,3,16746
mcsally-61631,mcsallym,Martha,True,McSally,Martha McSally,1,republican,57.0,57.0,2,AZ,179806,True,1,0,republican,9,315679,2511991,4,21966
heinz-62732,heinzm,Matt,False,Heinz,Matt Heinz,2,democrat,43.0,43.0,2,AZ,135873,False,0,0,democrat,9,315679,2511991,4,135873
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AZ,0,False,0,0,other,9,315679,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AZ,0,False,0,0,other,9,315679,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AZ,0,False,0,0,republican,9,251199,2511991,3,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AZ,0,False,0,0,other,9,251199,2511991,3,0
grijalva-1131,grijalvar,Raul,True,Grijalva,Raul Grijalva,1,democrat,100.0,100.0,3,AZ,251199,True,1,1,democrat,9,251199,2511991,3,125599
gosar-61002,gosarp,Paul,True,Gosar,Paul Gosar,1,republican,71.5,71.5,4,AZ,203487,True,1,0,republican,9,284783,2511991,4,61095
weisser-62330,weisserm,Mikel,False,Weisser,Mikel Weisser,2,democrat,28.5,28.5,4,AZ,81296,False,0,0,democrat,9,284783,2511991,4,81296
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AZ,0,False,0,0,other,9,284783,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AZ,0,False,0,0,other,9,284783,2511991,4,0
biggs-52611,biggsa,Andy,False,Biggs,Andy Biggs,1,republican,64.1,64.1,5,AZ,205184,True,1,0,republican,9,320124,2511991,4,45121
fuentes-65715,fuentest,Talia,False,Fuentes,Talia Fuentes,2,democrat,35.9,35.9,5,AZ,114940,False,0,0,democrat,9,320124,2511991,4,114940
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AZ,0,False,0,0,other,9,320124,2511991,4,0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AZ,0,False,0,0,other,9,320124,2511991,4,0
schweikert-5397,schweikertd,David,True,Schweikert,David Schweikert,1,republican,62.1,62.1,6,AZ,201578,True,1,0,republican,9,324444,2511991,4,39355
williamson-62734,williamsonj,John,False,Williamson,John Williamson,2,democrat,37.9,37.9,6,AZ,122866,False,0,0,democrat,9,324444,2511991,4,122866
